"Menu Item Name","Menu Category","QTY sold","Sales exc Tax.","Discounts","Sales inc Tax.(a)","Cost inc Tax(b)","Gross Profit(a)-(b)","Markup Percentage %(a-b)/b * 100%"
"48. Soup Ramen(Vegetable)","Noodles 47-48","107","£ 855.18","£ 11.56","£ 897.94","£ 0.00","£ 897.94","0 %"
"48. Soup Ramen(Pork Belly)","Noodles 47-48","314","£ 2796.38","£ 46.80","£ 2936.20","£ 0.00","£ 2936.20","0 %"
"48. Soup Ramen(Pork Cutlet Katsu)","Noodles 47-48","128","£ 1131.54","£ 27.88","£ 1188.12","£ 0.00","£ 1188.12","0 %"
"48. Soup Ramen(Chicken)","Noodles 47-48","253","£ 2235.21","£ 56.53","£ 2346.97","£ 0.00","£ 2346.97","0 %"
"48. Soup Ramen(King Prawns)","Noodles 47-48","91","£ 1064.24","£ 20.05","£ 1117.45","£ 0.00","£ 1117.45","0 %"
"48. Soup Ramen(Seafood)","Noodles 47-48","58","£ 789.36","£ 12.17","£ 828.83","£ 0.00","£ 828.83","0 %"
"48. Soup Ramen(Grilled Ribeye Steak)","Noodles 47-48","47","£ 658.85","£ 10.86","£ 691.79","£ 0.00","£ 691.79","0 %"
"48.Soup Udon(Vegetable)","Noodles 47-48","44","£ 345.10","£ 11.65","£ 362.35","£ 0.00","£ 362.35","0 %"
"48.Soup Udon(Chicken)","Noodles 47-48","59","£ 526.04","£ 8.16","£ 552.34","£ 0.00","£ 552.34","0 %"
"48.Soup Udon(Chilli Beef)","Noodles 47-48","58","£ 511.98","£ 13.42","£ 537.58","£ 0.00","£ 537.58","0 %"
"48.Soup Udon(Pork Belly)","Noodles 47-48","79","£ 700.64","£ 14.83","£ 735.67","£ 0.00","£ 735.67","0 %"
"48.Soup Udon(Pork Katsu)","Noodles 47-48","41","£ 360.54","£ 10.93","£ 378.57","£ 0.00","£ 378.57","0 %"
"48.Soup Udon(King Prawns)","Noodles 47-48","25","£ 288.10","£ 10.00","£ 302.50","£ 0.00","£ 302.50","0 %"
"48.Soup Udon(Seafood)","Noodles 47-48","27","£ 357.23","£ 16.41","£ 375.09","£ 0.00","£ 375.09","0 %"
"48.Soup Udon(Grilled Ribeye Steak)","Noodles 47-48","15","£ 212.15","£ 1.49","£ 222.76","£ 0.00","£ 222.76","0 %"
"27. Japanese Grill Platter(Standard)","Platters 27-28","207","£ 4780.62","£ 155.35","£ 5019.65","£ 0.00","£ 5019.65","0 %"
"28. Seafood Platter(Standard)","Platters 27-28","84","£ 3093.81","£ 111.50","£ 3248.50","£ 0.00","£ 3248.50","0 %"
"14. Monte Verde Merlot(125ml)","Red Wine","20","£ 66.67","£ 0.00","£ 70.00","£ 0.00","£ 70.00","0 %"
"14. Monte Verde Merlot(175ml)","Red Wine","63","£ 266.70","£ 3.46","£ 280.04","£ 0.00","£ 280.04","0 %"
"14. Monte Verde Merlot(250ml)","Red Wine","60","£ 312.19","£ 2.20","£ 327.80","£ 0.00","£ 327.80","0 %"
"14. Monte Verde Merlot(Bottle)","Red Wine","51","£ 823.83","£ 27.48","£ 865.02","£ 0.00","£ 865.02","0 %"
"15. Berri Estates Shiraz(125ml)","Red Wine","16","£ 56.84","£ 0.32","£ 59.68","£ 0.00","£ 59.68","0 %"
"15. Berri Estates Shiraz(175ml)","Red Wine","26","£ 117.62","£ 0.00","£ 123.50","£ 0.00","£ 123.50","0 %"
"15. Berri Estates Shiraz(250ml)","Red Wine","46","£ 262.86","£ 0.00","£ 276.00","£ 0.00","£ 276.00","0 %"
"15. Berri Estates Shiraz(Bottle)","Red Wine","29","£ 476.82","£ 6.84","£ 500.66","£ 0.00","£ 500.66","0 %"
"16. Rare Vineyards Pinot Noir(125ml)","Red Wine","10","£ 39.67","£ 0.85","£ 41.65","£ 0.00","£ 41.65","0 %"
"16. Rare Vineyards Pinot Noir(175ml)","Red Wine","16","£ 80.00","£ 0.00","£ 84.00","£ 0.00","£ 84.00","0 %"
"16. Rare Vineyards Pinot Noir(250ml)","Red Wine","23","£ 141.43","£ 6.75","£ 148.50","£ 0.00","£ 148.50","0 %"
"16. Rare Vineyards Pinot Noir(Bottle)","Red Wine","21","£ 400.00","£ 0.00","£ 420.00","£ 0.00","£ 420.00","0 %"
"17 Alma Mora Malbec(125ml)","Red Wine","12","£ 49.89","£ 1.62","£ 52.38","£ 0.00","£ 52.38","0 %"
"17 Alma Mora Malbec(175ml)","Red Wine","40","£ 207.95","£ 1.65","£ 218.35","£ 0.00","£ 218.35","0 %"
"17 Alma Mora Malbec(250ml)","Red Wine","49","£ 335.66","£ 2.81","£ 352.44","£ 0.00","£ 352.44","0 %"
"17 Alma Mora Malbec(Bottle)","Red Wine","28","£ 560.00","£ 0.00","£ 588.00","£ 0.00","£ 588.00","0 %"
"70. Dolsot Bimbimbap(Beef)","Rice Dishes 70-74","511","£ 4677.39","£ 147.64","£ 4911.26","£ 0.00","£ 4911.26","0 %"
"70. Dolsot Bimbimbap(Chicken)","Rice Dishes 70-74","200","£ 1845.20","£ 42.54","£ 1937.46","£ 0.00","£ 1937.46","0 %"
"70. Dolsot Bimbimbap(Pork)","Rice Dishes 70-74","135","£ 1248.29","£ 25.80","£ 1310.70","£ 0.00","£ 1310.70","0 %"
"70. Dolsot Bimbimbap(Vegetable)","Rice Dishes 70-74","116","£ 1072.10","£ 22.70","£ 1125.70","£ 0.00","£ 1125.70","0 %"
"71. Kimchi Fried Rice(Pork)","Rice Dishes 70-74","191","£ 1553.82","£ 68.39","£ 1631.51","£ 0.00","£ 1631.51","0 %"
"71. Kimchi Fried Rice(Chicken)","Rice Dishes 70-74","307","£ 2505.23","£ 101.81","£ 2630.49","£ 0.00","£ 2630.49","0 %"
"71. Kimchi Fried Rice(Vegetable)","Rice Dishes 70-74","109","£ 898.58","£ 26.59","£ 943.51","£ 0.00","£ 943.51","0 %"
"72. Bok Gum Bap(Pork)","Rice Dishes 70-74","104","£ 854.48","£ 28.40","£ 897.20","£ 0.00","£ 897.20","0 %"
"72. Bok Gum Bap(Chicken)","Rice Dishes 70-74","137","£ 1132.46","£ 30.22","£ 1189.08","£ 0.00","£ 1189.08","0 %"
"72. Bok Gum Bap(Vegetable)","Rice Dishes 70-74","42","£ 346.85","£ 9.61","£ 364.19","£ 0.00","£ 364.19","0 %"
"73. Squid Thop Bap(Standard)","Rice Dishes 70-74","224","£ 2610.78","£ 58.68","£ 2741.32","£ 0.00","£ 2741.32","0 %"
"74. Gimbap(Beef)","Rice Dishes 70-74","61","£ 488.14","£ 30.35","£ 512.55","£ 0.00","£ 512.55","0 %"
"74. Gimbap(Spicy Chicken)","Rice Dishes 70-74","88","£ 702.15","£ 45.94","£ 737.26","£ 0.00","£ 737.26","0 %"
"74. Gimbap(Pork Belly)","Rice Dishes 70-74","53","£ 418.42","£ 32.36","£ 439.34","£ 0.00","£ 439.34","0 %"
"74. Gimbap(Vegetable)","Rice Dishes 70-74","54","£ 440.76","£ 17.80","£ 462.80","£ 0.00","£ 462.80","0 %"
"16. Chilli Beef(Standard)","Robata Grill 16-24","402","£ 2801.68","£ 73.24","£ 2941.76","£ 0.00","£ 2941.76","0 %"
"17. Teriyaki Chicken(Standard)","Robata Grill 16-24","398","£ 2399.83","£ 67.18","£ 2519.82","£ 0.00","£ 2519.82","0 %"
"18. Pork Yakitori(Standard)","Robata Grill 16-24","144","£ 879.05","£ 13.00","£ 923.00","£ 0.00","£ 923.00","0 %"
"19. Miso Lamb(Standard)","Robata Grill 16-24","184","£ 1382.81","£ 20.05","£ 1451.95","£ 0.00","£ 1451.95","0 %"
"20. Teriyaki Salmon(Standard)","Robata Grill 16-24","305","£ 2137.25","£ 43.39","£ 2244.11","£ 0.00","£ 2244.11","0 %"
"21. Grilled Squid(Standard)","Robata Grill 16-24","223","£ 1358.10","£ 23.49","£ 1426.01","£ 0.00","£ 1426.01","0 %"
"22. King Prawn(Standard)","Robata Grill 16-24","268","£ 1892.70","£ 22.67","£ 1987.33","£ 0.00","£ 1987.33","0 %"
"23. Lobster Tail(Standard)","Robata Grill 16-24","31","£ 245.70","£ 5.52","£ 257.98","£ 0.00","£ 257.98","0 %"
"24. Mixed Vegetable(Standard)","Robata Grill 16-24","92","£ 514.15","£ 12.14","£ 539.86","£ 0.00","£ 539.86","0 %"
"12. Belvino Pinot Grigio Rosato(125ml)","Rose Wine","24","£ 80.00","£ 0.00","£ 84.00","£ 0.00","£ 84.00","0 %"
"12. Belvino Pinot Grigio Rosato(175ml)","Rose Wine","95","£ 400.70","£ 6.76","£ 420.74","£ 0.00","£ 420.74","0 %"
"12. Belvino Pinot Grigio Rosato(250ml)","Rose Wine","128","£ 657.35","£ 13.78","£ 690.22","£ 0.00","£ 690.22","0 %"
"12. Belvino Pinot Grigio Rosato(Bottle)","Rose Wine","55","£ 1007.65","£ 14.47","£ 1058.03","£ 0.00","£ 1058.03","0 %"
"13. Whispering Hills(125ml)","Rose Wine","12","£ 45.71","£ 0.00","£ 48.00","£ 0.00","£ 48.00","0 %"
"13. Whispering Hills(175ml)","Rose Wine","51","£ 239.52","£ 3.50","£ 251.50","£ 0.00","£ 251.50","0 %"
"13. Whispering Hills(250ml)","Rose Wine","45","£ 278.57","£ 0.00","£ 292.50","£ 0.00","£ 292.50","0 %"
"13. Whispering Hills(Bottle)","Rose Wine","24","£ 442.73","£ 3.13","£ 464.87","£ 0.00","£ 464.87","0 %"
"Chilli Fries(Standard)","Sides","1539","£ 5037.83","£ 96.78","£ 5289.72","£ 0.00","£ 5289.72","0 %"
"Edamame(Standard)","Sides","346","£ 1129.83","£ 24.68","£ 1186.32","£ 0.00","£ 1186.32","0 %"
"Miso Soup(Standard)","Sides","298","£ 830.66","£ 21.81","£ 872.19","£ 0.00","£ 872.19","0 %"
"Steamed Rice(Standard)","Sides","1264","£ 3539.04","£ 76.01","£ 3715.99","£ 0.00","£ 3715.99","0 %"
"Wakame Salad(Standard)","Sides","73","£ 341.08","£ 6.87","£ 358.13","£ 0.00","£ 358.13","0 %"
"Apple Juice(Standard)","Soft Drinks","232","£ 525.97","£ 4.53","£ 552.27","£ 0.00","£ 552.27","0 %"
"Coke(Standard)","Soft Drinks","2189","£ 5559.35","£ 72.98","£ 5837.32","£ 0.00","£ 5837.32","0 %"
"Diet Coke(Standard)","Soft Drinks","1986","£ 5035.98","£ 74.42","£ 5287.78","£ 0.00","£ 5287.78","0 %"
"Fanta(Standard)","Soft Drinks","372","£ 944.38","£ 12.80","£ 991.60","£ 0.00","£ 991.60","0 %"
"Fever Tree Pink Tonic(Standard)","Soft Drinks","34","£ 86.91","£ 0.54","£ 91.26","£ 0.00","£ 91.26","0 %"
"Fever Tree Slimline Tonic(Standard)","Soft Drinks","68","£ 173.44","£ 1.49","£ 182.11","£ 0.00","£ 182.11","0 %"
